kind,k_true,sep,field_sigma,trend_amp,noise_sigma,cell_idx,realiz,truth_k,method,k_hat
null,,,3.0,,,0,6,1,ess_dip_adaptive,1
null,,,3.0,,,0,6,1,ess_dip_local,1
null,,,3.0,,,0,3,1,classical_gap,2
null,,,3.0,,,0,3,1,silhouette,6
null,,,3.0,,,0,3,1,calinski_harabasz,3
null,,,3.0,,,0,3,1,davies_bouldin,7
null,,,3.0,,,0,3,1,decluster_dip,1
null,,,3.0,,,0,3,1,ess_dip,1
null,,,3.0,,,0,3,1,ess_dip_detrend,1
null,,,3.0,,,0,3,1,ess_dip_adaptive,1
null,,,3.0,,,0,3,1,ess_dip_local,1
null,,,3.0,,,0,8,1,classical_gap,1
null,,,3.0,,,0,8,1,silhouette,8
null,,,3.0,,,0,8,1,calinski_harabasz,2
null,,,3.0,,,0,8,1,davies_bouldin,8
null,,,3.0,,,0,8,1,decluster_dip,1
null,,,3.0,,,0,8,1,ess_dip,1
null,,,3.0,,,0,8,1,ess_dip_detrend,1
null,,,3.0,,,0,8,1,ess_dip_adaptive,1
null,,,3.0,,,0,8,1,ess_dip_local,1
null,,,3.0,,,0,12,1,classical_gap,1
null,,,3.0,,,0,12,1,silhouette,5
null,,,3.0,,,0,12,1,calinski_harabasz,2
null,,,3.0,,,0,12,1,davies_bouldin,8
null,,,3.0,,,0,12,1,decluster_dip,1
null,,,3.0,,,0,12,1,ess_dip,1
null,,,3.0,,,0,12,1,ess_dip_detrend,1
null,,,3.0,,,0,12,1,ess_dip_adaptive,1
null,,,3.0,,,0,12,1,ess_dip_local,1
null,,,6.0,,,1,5,1,classical_gap,8
null,,,6.0,,,1,5,1,silhouette,7
null,,,6.0,,,1,5,1,calinski_harabasz,2
null,,,6.0,,,1,5,1,davies_bouldin,8
null,,,6.0,,,1,5,1,decluster_dip,1
null,,,6.0,,,1,5,1,ess_dip,1
null,,,6.0,,,1,5,1,ess_dip_detrend,1
null,,,6.0,,,1,5,1,ess_dip_adaptive,1
null,,,6.0,,,1,5,1,ess_dip_local,1
null,,,3.0,,,0,2,1,classical_gap,1
null,,,3.0,,,0,2,1,silhouette,3
null,,,3.0,,,0,2,1,calinski_harabasz,2
null,,,3.0,,,0,2,1,davies_bouldin,8
null,,,3.0,,,0,2,1,decluster_dip,1
null,,,3.0,,,0,2,1,ess_dip,1
null,,,3.0,,,0,2,1,ess_dip_detrend,1
null,,,3.0,,,0,2,1,ess_dip_adaptive,1
null,,,3.0,,,0,2,1,ess_dip_local,1
null,,,6.0,,,1,4,1,classical_gap,1
null,,,6.0,,,1,4,1,silhouette,8
null,,,6.0,,,1,4,1,calinski_harabasz,2
null,,,6.0,,,1,4,1,davies_bouldin,8
null,,,6.0,,,1,4,1,decluster_dip,1
null,,,6.0,,,1,4,1,ess_dip,1
null,,,6.0,,,1,4,1,ess_dip_detrend,1
null,,,6.0,,,1,4,1,ess_dip_adaptive,1
null,,,6.0,,,1,4,1,ess_dip_local,1
null,,,6.0,,,1,2,1,classical_gap,1
null,,,6.0,,,1,2,1,silhouette,8
null,,,6.0,,,1,2,1,calinski_harabasz,2
null,,,6.0,,,1,2,1,davies_bouldin,8
null,,,6.0,,,1,2,1,decluster_dip,1
null,,,6.0,,,1,2,1,ess_dip,1
null,,,6.0,,,1,2,1,ess_dip_detrend,1
null,,,6.0,,,1,2,1,ess_dip_adaptive,1
null,,,6.0,,,1,2,1,ess_dip_local,1
null,,,6.0,,,1,10,1,classical_gap,1
null,,,6.0,,,1,10,1,silhouette,4
null,,,6.0,,,1,10,1,calinski_harabasz,2
null,,,6.0,,,1,10,1,davies_bouldin,8
null,,,6.0,,,1,10,1,decluster_dip,1
null,,,6.0,,,1,10,1,ess_dip,1
null,,,6.0,,,1,10,1,ess_dip_detrend,1
null,,,6.0,,,1,10,1,ess_dip_adaptive,1
null,,,6.0,,,1,10,1,ess_dip_local,1
null,,,6.0,,,1,8,1,classical_gap,1
null,,,6.0,,,1,8,1,silhouette,6
null,,,6.0,,,1,8,1,calinski_harabasz,3
null,,,6.0,,,1,8,1,davies_bouldin,7
null,,,6.0,,,1,8,1,decluster_dip,1
null,,,6.0,,,1,8,1,ess_dip,1
null,,,6.0,,,1,8,1,ess_dip_detrend,1
null,,,6.0,,,1,8,1,ess_dip_adaptive,1
null,,,6.0,,,1,8,1,ess_dip_local,1
null,,,6.0,,,1,6,1,classical_gap,3
null,,,6.0,,,1,6,1,silhouette,6
null,,,6.0,,,1,6,1,calinski_harabasz,2
null,,,6.0,,,1,6,1,davies_bouldin,5
null,,,6.0,,,1,6,1,decluster_dip,1
null,,,6.0,,,1,6,1,ess_dip,1
null,,,6.0,,,1,6,1,ess_dip_detrend,1
null,,,6.0,,,1,6,1,ess_dip_adaptive,1
null,,,6.0,,,1,6,1,ess_dip_local,1
null,,,6.0,,,1,13,1,classical_gap,1
null,,,6.0,,,1,13,1,silhouette,8
null,,,6.0,,,1,13,1,calinski_harabasz,5
null,,,6.0,,,1,13,1,davies_bouldin,8
null,,,6.0,,,1,13,1,decluster_dip,1
null,,,6.0,,,1,13,1,ess_dip,1
null,,,6.0,,,1,13,1,ess_dip_detrend,1
null,,,6.0,,,1,13,1,ess_dip_adaptive,1
null,,,6.0,,,1,13,1,ess_dip_local,1
null,,,6.0,,,1,3,1,classical_gap,1
null,,,6.0,,,1,3,1,silhouette,8
null,,,6.0,,,1,3,1,calinski_harabasz,4
null,,,6.0,,,1,3,1,davies_bouldin,7
null,,,6.0,,,1,3,1,decluster_dip,1
null,,,6.0,,,1,3,1,ess_dip,1
null,,,6.0,,,1,3,1,ess_dip_detrend,1
null,,,6.0,,,1,3,1,ess_dip_adaptive,1
null,,,6.0,,,1,3,1,ess_dip_local,1
null,,,6.0,,,1,7,1,classical_gap,1
null,,,6.0,,,1,7,1,silhouette,7
null,,,6.0,,,1,7,1,calinski_harabasz,4
null,,,6.0,,,1,7,1,davies_bouldin,8
null,,,6.0,,,1,7,1,decluster_dip,1
null,,,6.0,,,1,7,1,ess_dip,1
null,,,6.0,,,1,7,1,ess_dip_detrend,1
null,,,6.0,,,1,7,1,ess_dip_adaptive,1
null,,,6.0,,,1,7,1,ess_dip_local,1
null,,,6.0,,,1,12,1,classical_gap,1
null,,,6.0,,,1,12,1,silhouette,8
null,,,6.0,,,1,12,1,calinski_harabasz,3
null,,,6.0,,,1,12,1,davies_bouldin,8
null,,,6.0,,,1,12,1,decluster_dip,1
null,,,6.0,,,1,12,1,ess_dip,1
null,,,6.0,,,1,12,1,ess_dip_detrend,1
null,,,6.0,,,1,12,1,ess_dip_adaptive,1
null,,,6.0,,,1,12,1,ess_dip_local,1
null,,,6.0,,,1,9,1,classical_gap,3
null,,,6.0,,,1,9,1,silhouette,8
null,,,6.0,,,1,9,1,calinski_harabasz,2
null,,,6.0,,,1,9,1,davies_bouldin,8
null,,,6.0,,,1,9,1,decluster_dip,1
null,,,6.0,,,1,9,1,ess_dip,1
null,,,6.0,,,1,9,1,ess_dip_detrend,1
null,,,6.0,,,1,9,1,ess_dip_adaptive,1
null,,,6.0,,,1,9,1,ess_dip_local,1
null,,,6.0,,,1,14,1,classical_gap,3
null,,,6.0,,,1,14,1,silhouette,3
null,,,6.0,,,1,14,1,calinski_harabasz,3
